part_id,order_id,part_name_id,quantity,order_date,order_time,unit_price,total_price,part_size,part_category,warehouse_id,supplier_name,part_name
1,381,radiator_cool_m,3,2023-07-09,09:54:57,440.59,1321.77,S,Cooling System,WH03,FieldMachinery Inc,Radiator Cooling Unit
2,105,belt_drive_m,9,2023-07-25,17:47:12,395.4,3558.6,S,Transmission,WH01,GreenAgro Supplies,Drive Belt Medium
3,142,engine_filter_m,1,2023-02-02,12:08:39,1162.4,1162.4,L,Engine Components,WH02,HarvestTech Ltd,Engine Oil Filter
4,380,chain_feed_l,9,2023-05-06,15:34:17,852.34,7671.06,S,Feeding System,WH01,HarvestTech Ltd,Feed Chain Assembly
5,280,engine_filter_m,6,2023-04-04,21:12:30,839.97,5039.82,M,Engine Components,WH01,AgriParts Co,Engine Oil Filter
6,158,sensor_temp_s,1,2023-02-27,13:01:38,334.86,334.86,S,Electrical,WH03,AgriParts Co,Temperature Sensor
7,182,radiator_cool_m,7,2023-06-15,22:35:51,1130.48,7913.36,S,Cooling System,WH01,HarvestTech Ltd,Radiator Cooling Unit
8,212,engine_filter_m,3,2023-06-09,12:05:40,1179.02,3537.06,M,Engine Components,WH03,HarvestTech Ltd,Engine Oil Filter
9,137,blade_std_s,2,2023-11-18,13:55:40,1311.45,2622.9,M,Cutting System,WH01,HarvestTech Ltd,Standard Cutting Blade
10,236,sensor_temp_s,5,2023-04-28,08:17:11,353.81,1769.05,L,Electrical,WH01,GreenAgro Supplies,Temperature Sensor
11,169,belt_drive_m,2,2023-11-17,10:09:45,542.94,1085.88,L,Transmission,WH02,FieldMachinery Inc,Drive Belt Medium
12,15,hyd_pump_l,5,2023-01-16,06:30:05,881.37,4406.85,M,Hydraulic System,WH01,AgriParts Co,Hydraulic Pump Large
13,306,bearing_axle_m,6,2023-08-21,11:25:14,668.68,4012.08,L,Chassis,WH01,GreenAgro Supplies,Axle Bearing
14,296,gearbox_hd_l,5,2023-09-06,01:36:57,1070.46,5352.3,S,Transmission,WH03,HarvestTech Ltd,Heavy Duty Gearbox
15,187,bearing_axle_m,2,2023-06-07,12:01:19,944.15,1888.3,L,Chassis,WH01,FieldMachinery Inc,Axle Bearing
16,260,belt_drive_m,7,2023-07-01,11:52:33,618.54,4329.78,M,Transmission,WH03,HarvestTech Ltd,Drive Belt Medium
17,99,bearing_axle_m,7,2023-12-17,06:20:10,932.88,6530.16,M,Chassis,WH02,AgriParts Co,Axle Bearing
18,156,belt_drive_m,4,2023-11-25,15:39:06,1183.99,4735.96,L,Transmission,WH03,FieldMachinery Inc,Drive Belt Medium
